item_rock,Камень
item_rock_dsc,Твёрдый камень
item_stick,Палка
item_stick_dsc,Небольшая палка
item_workbench,Верстак
item_workbench_dsc,Похоже на место для крафта
item_stone_axe,Каменный топор
item_stone_axe_dcs,Позволяет рубить дерево с комфортом
item_stone_pickaxe,Каменная кирка
item_stone_pickaxe_dsc,Позволяет разбивать камень
item_stone_sword,Каменный мечь
item_stone_sword_dsc,Ты чувствуешь силу
item_peg_wool,Мех пега
item_peg_wool_dsc,Мягкий и тёплый
item_bed,Кровать
item_bed_dsc,Ускорь время
item_hearth_flower,Сердечник
item_hearth_flower_dsc,Оно бьётся
item_hearth_flower_seed,Семена сердечника
item_hearth_flower_seed_dsc,Создай своё сердце
item_mana_flower,Цветок маны
item_mana_flower_dsc,Выглядит странно
item_mana_flower_seed,Семена цветка маны
item_mana_flower_seed_dsc,Это определённо цветок
item_iron_ore,Железная руда
item_iron_ore_dsc,Где-то я это уже видел
item_iron_ingot,Железный слиток
item_iron_ingot_dsc,Новый слой?
item_gold_ore,Золотая руда
item_gold_ore_dsc,"Думаю, оно будет лучше железа"
item_gold_ingot,Золотой слиток
item_gold_ingot_dsc,Определённо да
item_bake,Печь
item_bake_dsc,Переплавь весь этот мир
item_bonfire,Костёр
item_bonfire_dsc,Помогает выжить ночью
item_sand,Песок
item_sand_dsc,"Как пыль, но лучше"
item_grass,Трава
item_grass_dsc,Зачем?
item_stone,Камень
item_stone_dsc,"..."
item_coal,Уголь
item_coal_dsc,Сильно ускоряет переплавку
item_evil_eye,Злой глаз
item_evil_eye_dsc,Оно живое
item_log,Бревно
item_log_dsc,Разложи бревно возле костра для большей атмосферы
item_desert_log,Пустынное бревно
item_desert_log_dsc,Зачем оно существует?
item_iron_helmet,Железный шлем
item_iron_helmet_dsc,Ты чувствуешь себя защищённым
item_iron_chestplate,Железный нагрудник
item_iron_chestplate_dsc,Ты чувствуешь себя защищённым
item_iron_leggins,Железные поножи
item_iron_leggins_dsc,Ты чувствуешь себя защищённым
item_iron_boots,Железные ботинки
item_iron_boots_dsc,Ты чувствуешь себя защищённым
item_gold_helmet,Золотой шлем
item_gold_helmet_dsc,Ты чувствуешь себя защищённым
item_gold_chestplate,Золотой нагрудник
